element_idx,element_type,jens,jeans
307,T,0.35325,0.164106
308,T,0.684763,0.428858
309,H,0.805639,0.55453
310,H,0.872569,0.704008
311,R,0.406273,0.210618
312,R,0.718274,0.376638
313,R,0.787343,0.498663
314,P,0.785897,0.539627
315,P,0.462324,0.192919
316,P,0.429251,0.234804
317,P,0.344776,0.186638
318,P,0.287251,0.106784
319,H,0.872207,0.409911
320,H,0.894556,0.61256
321,P,0.460963,0.177375
322,P,0.714296,0.432536
323,P,0.183224,0.114823
324,P,0.486428,0.172995
325,P,0.241136,0.156005
326,H,0.868385,0.488909
327,H,0.844123,0.446581
328,H,0.6659,0.554764
329,H,0.840076,0.543503
330,R,0.406273,0.210618
331,R,0.682791,0.372859
332,R,0.639944,0.338404
333,H,0.69779,0.334791
334,H,0.823111,0.411987
335,R,0.690892,0.319754
336,R,0.698326,0.326925
337,R,0.639944,0.352815
338,T,0.374918,0.356758
339,T,0.764796,0.567519
340,P,0.570715,0.280869
341,P,0.433718,0.171846
342,T,0.524776,0.346804
343,P,0.429652,0.262979
344,P,0.255224,0.15006
345,R,0.771284,0.450746
346,R,0.566357,0.362482
347,R,0.63853,0.47036
348,T,0.729423,0.621847
349,P,0.503484,0.363463
350,P,0.432891,0.253511
351,T,0.583717,0.507299
352,H,0.937706,0.529124
353,H,0.873044,0.496441
354,H,0.788543,0.486035
355,P,0.471566,0.254853
356,P,0.536442,0.307606
357,T,0.729862,0.556875
358,R,0.601414,0.438716
359,P,0.48217,0.312984
360,P,0.34779,0.16946
361,P,0.332122,0.154098
362,T,0.392937,0.227755
363,T,0.574556,0.351304
364,T,0.118288,0.0543433
365,T,0.507988,0.25643
366,T,0.764196,0.521457
367,T,0.5186,0.268021
368,P,0.386749,0.143744
369,P,0.415251,0.157917
370,P,0.492767,0.23674
371,T,0.800098,0.48262
372,T,0.709041,0.539417
373,T,0.610946,0.494412
374,T,0.893087,0.703006
375,R,0.597248,0.369815
376,H,0.77681,0.470932
377,H,0.56606,0.264132
378,R,0.616805,0.380909
379,R,0.581287,0.32873
380,H,0.804018,0.487555
381,P,0.609071,0.291228
382,P,0.447959,0.220886
383,P,0.328136,0.131308
384,P,0.432883,0.267615
385,P,0.419557,0.26366
386,T,0.536035,0.277405
387,T,0.440132,0.212212
388,T,0.275784,0.128627
389,T,0.377069,0.136128
390,T,0.619402,0.379805
391,T,0.517063,0.23543
392,T,0.572157,0.469826
393,H,0.790229,0.279757
394,R,0.671427,0.393656
395,R,0.584085,0.303555
396,R,0.727045,0.596776
397,T,0.625107,0.45648
398,R,0.559411,0.387687
399,R,0.553771,0.428413
400,R,0.596305,0.468132
401,H,0.785199,0.487714
402,R,0.640628,0.300565
403,R,0.505491,0.213241
404,R,0.669675,0.499858
405,H,0.690145,0.358497
406,R,0.667283,0.300565
407,R,0.527311,0.208688
408,R,0.617546,0.472365
409,R,0.502429,0.363283
410,R,0.502429,0.363283
