element_idx,element_type,jens,jeans
2802,H,0.989808,0.803147
2803,H,0.98777,0.824101
2804,R,0.852348,0.543471
2805,R,0.854551,0.545569
2806,R,0.764722,0.390397
2807,R,0.734333,0.3873
2808,R,0.757536,0.424403
2809,R,0.734333,0.420249
2810,R,0.765021,0.426999
2811,R,0.769836,0.42745
2812,R,0.723613,0.36993
2813,R,0.748473,0.394022
2814,H,0.990513,0.777408
2815,H,0.992898,0.794055
2816,R,0.646541,0.555865
2817,R,0.624984,0.56177
2818,H,0.840024,0.490938
2819,H,0.861298,0.50826
2820,R,0.675232,0.350809
2821,R,0.60963,0.298805
2822,R,0.690765,0.362336
2823,R,0.60963,0.294125
2824,R,0.607176,0.507257
2825,R,0.646887,0.582238
2826,H,0.841191,0.491446
2827,H,0.841191,0.491446
2828,R,0.686329,0.377993
2829,R,0.609641,0.286727
2830,R,0.675232,0.335446
2831,R,0.609641,0.273832
2832,H,0.957179,0.65461
2833,H,0.941577,0.588318
2834,H,0.99443,0.783489
2835,H,0.99359,0.777904
2836,H,0.9928,0.892425
2837,H,0.992159,0.852093
2838,H,0.992884,0.867198
2839,H,0.990193,0.830749
2840,H,0.941634,0.624901
2841,H,0.941634,0.636444
2842,H,0.99359,0.79365
2843,H,0.995482,0.793903
2844,H,0.974464,0.82606
2845,H,0.979453,0.788219
2846,H,0.987517,0.86314
2847,H,0.971366,0.872064
2848,R,0.622732,0.567495
2849,R,0.611048,0.535947
2850,H,0.852175,0.494453
2851,H,0.853346,0.510378
2852,R,0.66971,0.369558
2853,R,0.616827,0.316663
2854,R,0.64558,0.315183
2855,R,0.655026,0.28792
2856,R,0.624984,0.562515
2857,R,0.648736,0.562515
2858,H,0.852662,0.512899
2859,H,0.840024,0.490938
2860,R,0.647037,0.335643
2861,R,0.625756,0.279591
2862,R,0.647037,0.358738
2863,R,0.616827,0.299264
2864,H,0.939172,0.638981
2865,H,0.939172,0.637726
2866,H,0.991878,0.772887
2867,H,0.987903,0.745356
2868,H,0.979179,0.847847
2869,H,0.986779,0.814004
2870,H,0.983437,0.818682
2871,H,0.989658,0.763605
2872,H,0.948973,0.605801
2873,H,0.956557,0.62146
2874,H,0.995292,0.83399
2875,H,0.994608,0.776232
2876,H,0.991125,0.814569
2877,H,0.986729,0.801878
2878,H,0.988283,0.865164
2879,H,0.991141,0.861479
2880,H,0.839327,0.51823
2881,H,0.839327,0.505271
2882,R,0.636416,0.581655
2883,R,0.62573,0.559383
2884,R,0.626656,0.292541
2885,R,0.648516,0.329633
2886,R,0.626656,0.284103
2887,R,0.663484,0.320929
2888,H,0.870892,0.485251
2889,H,0.844957,0.505852
2890,R,0.615999,0.553145
2891,R,0.594033,0.522518
2892,R,0.658061,0.322175
2893,R,0.672317,0.371122
2894,R,0.658061,0.311811
2895,R,0.648516,0.345561
2896,H,0.967677,0.662604
2897,H,0.959863,0.61324
2898,H,0.991805,0.872511
2899,H,0.987296,0.77678
2900,H,0.992814,0.854792
2901,H,0.995653,0.773785
2902,H,0.996835,0.872978
2903,H,0.992007,0.770072
2904,H,0.959863,0.615444
2905,H,0.961049,0.594548
2906,H,0.986911,0.826805
2907,H,0.989093,0.860127
2908,H,0.992727,0.823036
2909,H,0.995445,0.830233
